dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,casual,registered,cnt,season_desc,weather_desc,weekday_desc,month_desc,holiday_desc,workingday_desc,hr
2011-01-01,1,0,1,0,6,0,2,0.344167,0.805833,331,654,985,Spring,Mist/Cloudy,Saturday,Jan,Not Holiday,Weekend/Holiday,
2011-01-02,1,0,1,0,0,0,2,0.363478,0.696087,131,670,801,Spring,Mist/Cloudy,Sunday,Jan,Not Holiday,Weekend/Holiday,
2011-01-03,1,0,1,0,1,1,1,0.196364,0.437273,120,1229,1349,Spring,Clear/Partly Cloudy,Monday,Jan,Not Holiday,Working Day,
2011-01-04,1,0,1,0,2,1,1,0.2,0.590435,108,1454,1562,Spring,Clear/Partly Cloudy,Tuesday,Jan,Not Holiday,Working Day,
2011-01-05,1,0,1,0,3,1,1,0.226957,0.436957,82,1518,1600,Spring,Clear/Partly Cloudy,Wednesday,Jan,Not Holiday,Working Day,
2011-01-06,1,0,1,0,4,1,1,0.204348,0.518261,88,1518,1606,Spring,Clear/Partly Cloudy,Thursday,Jan,Not Holiday,Working Day,
2011-01-07,1,0,1,0,5,1,2,0.196522,0.498696,148,1362,1510,Spring,Mist/Cloudy,Friday,Jan,Not Holiday,Working Day,
2011-01-08,1,0,1,0,6,0,2,0.165,0.535833,68,891,959,Spring,Mist/Cloudy,Saturday,Jan,Not Holiday,Weekend/Holiday,
2011-01-09,1,0,1,0,0,0,1,0.138333,0.434167,54,768,822,Spring,Clear/Partly Cloudy,Sunday,Jan,Not Holiday,Weekend/Holiday,
2011-01-10,1,0,1,0,1,1,1,0.150833,0.482917,41,1280,1321,Spring,Clear/Partly Cloudy,Monday,Jan,Not Holiday,Working Day,
2011-01-11,1,0,1,0,2,1,2,0.169091,0.686364,43,1220,1263,Spring,Mist/Cloudy,Tuesday,Jan,Not Holiday,Working Day,
2011-01-12,1,0,1,0,3,1,1,0.172727,0.599545,25,1137,1162,Spring,Clear/Partly Cloudy,Wednesday,Jan,Not Holiday,Working Day,
2011-01-13,1,0,1,0,4,1,1,0.165,0.470417,38,1368,1406,Spring,Clear/Partly Cloudy,Thursday,Jan,Not Holiday,Working Day,
2011-01-14,1,0,1,0,5,1,1,0.16087,0.537826,54,1367,1421,Spring,Clear/Partly Cloudy,Friday,Jan,Not Holiday,Working Day,
2011-01-15,1,0,1,0,6,0,2,0.233333,0.49875,222,1026,1248,Spring,Mist/Cloudy,Saturday,Jan,Not Holiday,Weekend/Holiday,
2011-01-16,1,0,1,0,0,0,1,0.231667,0.48375,251,953,1204,Spring,Clear/Partly Cloudy,Sunday,Jan,Not Holiday,Weekend/Holiday,
2011-01-17,1,0,1,1,1,0,2,0.175833,0.5375,117,883,1000,Spring,Mist/Cloudy,Monday,Jan,Holiday,Weekend/Holiday,
2011-01-18,1,0,1,0,2,1,2,0.216667,0.861667,9,674,683,Spring,Mist/Cloudy,Tuesday,Jan,Not Holiday,Working Day,
2011-01-19,1,0,1,0,3,1,2,0.292174,0.741739,78,1572,1650,Spring,Mist/Cloudy,Wednesday,Jan,Not Holiday,Working Day,
2011-01-20,1,0,1,0,4,1,2,0.261667,0.538333,83,1844,1927,Spring,Mist/Cloudy,Thursday,Jan,Not Holiday,Working Day,
2011-01-21,1,0,1,0,5,1,1,0.1775,0.457083,75,1468,1543,Spring,Clear/Partly Cloudy,Friday,Jan,Not Holiday,Working Day,
2011-01-22,1,0,1,0,6,0,1,0.0591304,0.4,93,888,981,Spring,Clear/Partly Cloudy,Saturday,Jan,Not Holiday,Weekend/Holiday,
2011-01-23,1,0,1,0,0,0,1,0.0965217,0.436522,150,836,986,Spring,Clear/Partly Cloudy,Sunday,Jan,Not Holiday,Weekend/Holiday,
2011-01-24,1,0,1,0,1,1,1,0.0973913,0.491739,86,1330,1416,Spring,Clear/Partly Cloudy,Monday,Jan,Not Holiday,Working Day,
2011-01-25,1,0,1,0,2,1,2,0.223478,0.616957,186,1799,1985,Spring,Mist/Cloudy,Tuesday,Jan,Not Holiday,Working Day,
2011-01-26,1,0,1,0,3,1,3,0.2175,0.8625,34,472,506,Spring,Light Snow/Rain,Wednesday,Jan,Not Holiday,Working Day,
2011-01-27,1,0,1,0,4,1,1,0.195,0.6875,15,416,431,Spring,Clear/Partly Cloudy,Thursday,Jan,Not Holiday,Working Day,
2011-01-28,1,0,1,0,5,1,2,0.203478,0.793043,38,1129,1167,Spring,Mist/Cloudy,Friday,Jan,Not Holiday,Working Day,
2011-01-29,1,0,1,0,6,0,1,0.196522,0.651739,123,975,1098,Spring,Clear/Partly Cloudy,Saturday,Jan,Not Holiday,Weekend/Holiday,
2011-01-30,1,0,1,0,0,0,1,0.216522,0.722174,140,956,1096,Spring,Clear/Partly Cloudy,Sunday,Jan,Not Holiday,Weekend/Holiday,
2011-01-31,1,0,1,0,1,1,2,0.180833,0.60375,42,1459,1501,Spring,Mist/Cloudy,Monday,Jan,Not Holiday,Working Day,
2011-02-01,1,0,2,0,2,1,2,0.192174,0.829565,47,1313,1360,Spring,Mist/Cloudy,Tuesday,Feb,Not Holiday,Working Day,
2011-02-02,1,0,2,0,3,1,2,0.26,0.775417,72,1454,1526,Spring,Mist/Cloudy,Wednesday,Feb,Not Holiday,Working Day,
2011-02-03,1,0,2,0,4,1,1,0.186957,0.437826,61,1489,1550,Spring,Clear/Partly Cloudy,Thursday,Feb,Not Holiday,Working Day,
2011-02-04,1,0,2,0,5,1,2,0.211304,0.585217,88,1620,1708,Spring,Mist/Cloudy,Friday,Feb,Not Holiday,Working Day,
2011-02-05,1,0,2,0,6,0,2,0.233333,0.929167,100,905,1005,Spring,Mist/Cloudy,Saturday,Feb,Not Holiday,Weekend/Holiday,
2011-02-06,1,0,2,0,0,0,1,0.285833,0.568333,354,1269,1623,Spring,Clear/Partly Cloudy,Sunday,Feb,Not Holiday,Weekend/Holiday,
2011-02-07,1,0,2,0,1,1,1,0.271667,0.738333,120,1592,1712,Spring,Clear/Partly Cloudy,Monday,Feb,Not Holiday,Working Day,
2011-02-08,1,0,2,0,2,1,1,0.220833,0.537917,64,1466,1530,Spring,Clear/Partly Cloudy,Tuesday,Feb,Not Holiday,Working Day,
2011-02-09,1,0,2,0,3,1,2,0.134783,0.494783,53,1552,1605,Spring,Mist/Cloudy,Wednesday,Feb,Not Holiday,Working Day,
2011-02-10,1,0,2,0,4,1,1,0.144348,0.437391,47,1491,1538,Spring,Clear/Partly Cloudy,Thursday,Feb,Not Holiday,Working Day,
2011-02-11,1,0,2,0,5,1,1,0.189091,0.506364,149,1597,1746,Spring,Clear/Partly Cloudy,Friday,Feb,Not Holiday,Working Day,
2011-02-12,1,0,2,0,6,0,1,0.2225,0.544167,288,1184,1472,Spring,Clear/Partly Cloudy,Saturday,Feb,Not Holiday,Weekend/Holiday,
2011-02-13,1,0,2,0,0,0,1,0.316522,0.457391,397,1192,1589,Spring,Clear/Partly Cloudy,Sunday,Feb,Not Holiday,Weekend/Holiday,
2011-02-14,1,0,2,0,1,1,1,0.415,0.375833,208,1705,1913,Spring,Clear/Partly Cloudy,Monday,Feb,Not Holiday,Working Day,
2011-02-15,1,0,2,0,2,1,1,0.266087,0.314348,140,1675,1815,Spring,Clear/Partly Cloudy,Tuesday,Feb,Not Holiday,Working Day,
